symbol_canonical,asset_type,price_now_close,rsi14,atr14,atr14_pct,bb_ma20,bb_lower
NYSEARCA:VUG,eq,489.6199951171875,61.29,3.680648,0.7517356392111927,481.422998,472.574472
NYSEARCA:IVW,eq,122.66999816894531,60.82,0.866686,0.7065183116790875,120.892501,119.003557
NYSEARCA:IUSG,eq,167.38999938964844,61.13,1.18877,0.7101798221725275,164.809501,162.199535
NYSEARCA:SGOV,eq,100.6500015258789,97.87,0.017187,0.017076005702375392,100.4933,100.310475
NASDAQ:QQQM,eq,254.02000427246094,62.9,1.956204,0.7700984044948612,249.002001,243.983819
NASDAQ:SOXX,eq,295.8599853515625,62.97,4.901797,1.6567962018166553,284.303499,269.204605
NASDAQ:NVDA,eq,186.25999450683594,56.19,2.69514,1.4469773861724695,184.665501,177.692487
NASDAQ:AVGO,eq,354.1300048828125,57.95,6.480491,1.82997512513646,342.052998,324.385572
NYSE:TSM,eq,294.9599914550781,55.55,5.905484,2.002130516368487,293.401001,276.742902
NYSE:PLTR,eq,184.6300048828125,57.51,3.317962,1.797087099740891,180.453,173.306419
NYSE:VST,eq,201.47000122070312,51.25,5.399362,2.6799831078003487,200.527,186.221373
NYSEARCA:ARGT,eq,74.25,55.16,1.303556,1.7556309764309763,71.0435,66.975961
NYSEARCA:SPY,eq,677.25,62.64,3.849888,0.5684589147286822,667.481494,657.00203
NYSEARCA:VOO,eq,622.5499877929688,62.7,3.507249,0.5633682545611659,613.638501,604.066971
NYSEARCA:VTI,eq,333.7099914550781,61.87,1.975201,0.5918914778030818,329.006499,323.905409
NASDAQ:QQQ,eq,617.0999755859375,62.89,4.768626,0.7727477213837485,604.867996,592.683719
NYSEARCA:XLK,eq,293.5799865722656,65.01,2.767791,0.9427723709356801,285.772,278.609554
NYSEARCA:SMH,eq,351.1400146484375,63.79,5.114181,1.4564506426646746,339.144997,324.186585
NYSEARCA:IJR,eq,121.13999938964844,59.04,1.089802,0.8996219295780554,118.739999,115.857361
NYSEARCA:IWF,eq,477.19000244140625,61.05,3.517051,0.737033672542596,469.832999,461.71459
